"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-09","10.74"," 2335"," 2334","0.05",,,,,"40","29",,"   60","   60",,"21.0","23.9","    1","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-10","16.33"," 0101"," 0100","0.03",,,,,"29","20",,"   20","   30",,"30.0","36.0","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-11","7.83"," 1657"," 1713","0.03",,,,,"32","17",,"  110","  100",,"16.1","17.0","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-12","11.63"," 1622"," 1630","0.00",,"0.0","0.0",,"58","24",,"  140","  140",,"21.9","25.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-13","12.30"," 1644"," 1643","0.00",,"0.0","0.0",,"71","40",,"  130","  130",,"23.0","29.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-14","21.03"," 1242"," 1241","0.00",,"0.0","0.0",,"67","31",,"  260","  250",,"42.9","51.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-15","10.96"," 1245"," 1404","0.00",,"0.0","0.0",,"57","25",,"   90","  170",,"23.9","32.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-16","13.42"," 2036"," 1957","0.00",,,,,"53","33",,"   90","   90",,"28.0","31.1",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-17","15.88"," 1028"," 1016","0.00",,,,,"46","28",,"  130","  120",,"25.9","30.0","    1",,,,,,,,,,,,,,,,"    1","    1",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-18","11.18"," 1540"," 1539","0.18",,,,,"52","26",,"   80","   80",,"25.1","29.1","    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-19","12.75"," 1911"," 1902","0.01",,,,,"41","30",,"  120","  120",,"19.9","23.0","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-20","8.28"," 1418"," 1407","0.00",,"0.0","0.0",,"48","27",,"  170","  160",,"23.0","25.9","    1","    1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-21","11.18"," 1612"," 1612","0.14",,,,,"42","32",,"   90","   90",,"21.0","21.9","    1","    1",,,,,,,,,,,,,"    1",,"    1","    1",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-22","7.61"," 1721"," 1540","0.00",,"0.0","0.0",,"43","25",,"  140","  120",,"15.0","17.9",,,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-23","7.61"," 1520"," 1520","0.03",,,,,"48","22",,"   20","   20",,"25.9","29.1","    1",,,,,,,"    1",,,,,,,"    1",,"    1","    1",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-24","7.38"," 2348"," 2340","0.00",,"0.0","0.0",,"55","31",,"  210","  200",,"13.0","15.0","    1",,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-25","13.20"," 1826"," 1809","0.82",,,,,"59","35",,"   10","  360",,"28.0","32.0","    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-26","8.50"," 0215"," 0321","0.08",,,,,"40","27",,"  360","  350",,"23.9","28.0","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-27","6.93"," 1848"," 1848","0.00",,"0.0","0.0",,"61","30",,"  180","  180",,"17.9","23.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-28","9.84"," 1909"," 1909","0.40",,"0.0","0.0",,"59","38",,"  350","  350",,"23.0","25.9","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-29","9.84"," 1625"," 1621","0.26",,"0.0","0.0",,"44","38",,"   90","   90",,"19.9","21.9","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-30","8.50"," 1619"," 1619","0.36",,,,,"52","33",,"  320","  310",,"25.9","34.0","    1","    1","    1",,"    1",,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-01","9.62"," 1728"," 1728","0.00",,,,,"50","30",,"   80","   90",,"17.9","21.0",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-02","8.50"," 0139"," 0209","0.08",,"0.0","0.0",,"56","35",,"  160","  160",,"19.9","21.9","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-03","9.84"," 1500"," 1458","0.07",,"0.0","0.0",,"51","38",,"  350","   10",,"17.9","21.0","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-04","9.84"," 1900"," 1900","0.00",,"0.0","0.0",,"63","34",,"  160","  150",,"29.1","33.1",,,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-05","22.15"," 1140"," 1222","0.01",,"0.0","0.0",,"62","44",,"  160","  160",,"40.0","46.1","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-06","11.63"," 0139"," 1513","0.00",,"0.0","0.0",,"64","43",,"  170","   20",,"28.0","30.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-07","10.96"," 1457"," 1500","0.60",,,,,"58","39",,"  230","  230",,"30.0","32.0","    1",,"    1",,"    1",,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-08","17.90"," 1713"," 1648","0.10",,,,,"51","37",,"  350","  350",,"40.9","49.0","    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
